R_D_Spend,POM,Logist_Market,Pais,Profit,Supervivencia
165349.2,136897.8,471784.1,Colombia,192261.83,2
162597.7,151377.59,443898.53,Ecuador,191792.06,2
153441.51,101145.55,407934.54,Chile,191050.39,2
144372.41,118671.85,383199.62,Colombia,182901.99,2
142107.34,91391.77,366168.42,Chile,166187.94,2
131876.9,99814.71,362861.36,Colombia,156991.12,2
134615.46,147198.87,127716.82,Ecuador,156122.51,2
130298.13,145530.06,323876.68,Chile,155752.6,2
120542.52,148718.95,311613.29,Colombia,152211.77,2
123334.88,108679.17,304981.62,Ecuador,149759.96,1
101913.08,110594.11,229160.95,Chile,146121.95,1
100671.96,91790.61,249744.55,Ecuador,144259.4,1
93863.75,127320.38,249839.44,Chile,141585.52,1
91992.39,135495.07,252664.93,Ecuador,134307.35,1
119943.24,156547.42,256512.92,Chile,132602.65,1
114523.61,122616.84,261776.23,Colombia,129917.04,1
78013.11,121597.55,264346.06,Ecuador,126992.93,1
94657.16,145077.58,282574.31,Colombia,125370.37,1
91749.16,114175.79,294919.57,Chile,124266.9,1
86419.7,153514.11,0,Colombia,122776.86,1
76253.86,113867.3,298664.47,Ecuador,118474.03,1
78389.47,153773.43,299737.29,Colombia,111313.02,1
73994.56,122782.75,303319.26,Chile,110352.25,1
67532.53,105751.03,304768.73,Chile,108733.99,1
77044.01,99281.34,140574.81,Colombia,108552.04,1
64664.71,139553.16,137962.62,Ecuador,107404.34,0
75328.87,144135.98,134050.07,Chile,105733.54,0
72107.6,127864.55,353183.81,Colombia,105008.31,0
66051.52,182645.56,118148.2,Chile,103282.38,0
65605.48,153032.06,107138.38,Colombia,101004.64,0
61994.48,115641.28,91131.24,Chile,99937.59,0
61136.38,152701.92,88218.23,Colombia,97483.56,0
63408.86,129219.61,46085.25,Ecuador,97427.84,0
55493.95,103057.49,214634.81,Chile,96778.92,0
46426.07,157693.92,210797.67,Ecuador,96712.8,0
46014.02,85047.44,205517.64,Colombia,96479.51,0
28663.76,127056.21,201126.82,Chile,90708.19,0
44069.95,51283.14,197029.42,Ecuador,89949.14,0
20229.59,65947.93,185265.1,Colombia,81229.06,0
38558.51,82982.09,174999.3,Ecuador,81005.76,0
28754.33,118546.05,172795.67,Ecuador,78239.91,0
27892.92,84710.77,164470.71,Chile,77798.83,0
23640.93,96189.63,148001.11,Ecuador,71498.49,0
15505.73,127382.3,35534.17,Colombia,69758.98,0
22177.74,154806.14,28334.72,Ecuador,65200.33,0
1000.23,124153.04,1903.93,Colombia,64926.08,0
1315.46,115816.21,297114.46,Chile,49490.75,0
0,135426.92,0,Ecuador,42559.73,0
542.05,51743.15,0,Colombia,35673.41,0
0,116983.8,45173.06,Ecuador,14681.4,0
