"","Tecnologia","Normas","Capital","Equipo","Empresa"
"1",5.1,3.5,1.4,0.2,"CNB-Cerveza"
"2",4.9,3,1.4,0.2,"CNB-Cerveza"
"3",4.7,3.2,1.3,0.2,"CNB-Cerveza"
"4",4.6,3.1,1.5,0.2,"CNB-Cerveza"
"5",5,3.6,1.4,0.2,"CNB-Cerveza"
"6",5.4,3.9,1.7,0.4,"CNB-Cerveza"
"7",4.6,3.4,1.4,0.3,"CNB-Cerveza"
"8",5,3.4,1.5,0.2,"CNB-Cerveza"
"9",4.4,2.9,1.4,0.2,"CNB-Cerveza"
"10",4.9,3.1,1.5,0.1,"CNB-Cerveza"
"11",5.4,3.7,1.5,0.2,"CNB-Cerveza"
"12",4.8,3.4,1.6,0.2,"CNB-Cerveza"
"13",4.8,3,1.4,0.1,"CNB-Cerveza"
"14",4.3,3,1.1,0.1,"CNB-Cerveza"
"15",5.8,4,1.2,0.2,"CNB-Cerveza"
"16",5.7,4.4,1.5,0.4,"CNB-Cerveza"
"17",5.4,3.9,1.3,0.4,"CNB-Cerveza"
"18",5.1,3.5,1.4,0.3,"CNB-Cerveza"
"19",5.7,3.8,1.7,0.3,"CNB-Cerveza"
"20",5.1,3.8,1.5,0.3,"CNB-Cerveza"
"21",5.4,3.4,1.7,0.2,"CNB-Cerveza"
"22",5.1,3.7,1.5,0.4,"CNB-Cerveza"
"23",4.6,3.6,1,0.2,"CNB-Cerveza"
"24",5.1,3.3,1.7,0.5,"CNB-Cerveza"
"25",4.8,3.4,1.9,0.2,"CNB-Cerveza"
"26",5,3,1.6,0.2,"CNB-Cerveza"
"27",5,3.4,1.6,0.4,"CNB-Cerveza"
"28",5.2,3.5,1.5,0.2,"CNB-Cerveza"
"29",5.2,3.4,1.4,0.2,"CNB-Cerveza"
"30",4.7,3.2,1.6,0.2,"CNB-Cerveza"
"31",4.8,3.1,1.6,0.2,"CNB-Cerveza"
"32",5.4,3.4,1.5,0.4,"CNB-Cerveza"
"33",5.2,4.1,1.5,0.1,"CNB-Cerveza"
"34",5.5,4.2,1.4,0.2,"CNB-Cerveza"
"35",4.9,3.1,1.5,0.2,"CNB-Cerveza"
"36",5,3.2,1.2,0.2,"CNB-Cerveza"
"37",5.5,3.5,1.3,0.2,"CNB-Cerveza"
"38",4.9,3.6,1.4,0.1,"CNB-Cerveza"
"39",4.4,3,1.3,0.2,"CNB-Cerveza"
"40",5.1,3.4,1.5,0.2,"CNB-Cerveza"
"41",5,3.5,1.3,0.3,"CNB-Cerveza"
"42",4.5,2.3,1.3,0.3,"CNB-Cerveza"
"43",4.4,3.2,1.3,0.2,"CNB-Cerveza"
"44",5,3.5,1.6,0.6,"CNB-Cerveza"
"45",5.1,3.8,1.9,0.4,"CNB-Cerveza"
"46",4.8,3,1.4,0.3,"CNB-Cerveza"
"47",5.1,3.8,1.6,0.2,"CNB-Cerveza"
"48",4.6,3.2,1.4,0.2,"CNB-Cerveza"
"49",5.3,3.7,1.5,0.2,"CNB-Cerveza"
"50",5,3.3,1.4,0.2,"CNB-Cerveza"
"51",7,3.2,4.7,1.4,"FARMACORP"
"52",6.4,3.2,4.5,1.5,"FARMACORP"
"53",6.9,3.1,4.9,1.5,"FARMACORP"
"54",5.5,2.3,4,1.3,"FARMACORP"
"55",6.5,2.8,4.6,1.5,"FARMACORP"
"56",5.7,2.8,4.5,1.3,"FARMACORP"
"57",6.3,3.3,4.7,1.6,"FARMACORP"
"58",4.9,2.4,3.3,1,"FARMACORP"
"59",6.6,2.9,4.6,1.3,"FARMACORP"
"60",5.2,2.7,3.9,1.4,"FARMACORP"
"61",5,2,3.5,1,"FARMACORP"
"62",5.9,3,4.2,1.5,"FARMACORP"
"63",6,2.2,4,1,"FARMACORP"
"64",6.1,2.9,4.7,1.4,"FARMACORP"
"65",5.6,2.9,3.6,1.3,"FARMACORP"
"66",6.7,3.1,4.4,1.4,"FARMACORP"
"67",5.6,3,4.5,1.5,"FARMACORP"
"68",5.8,2.7,4.1,1,"FARMACORP"
"69",6.2,2.2,4.5,1.5,"FARMACORP"
"70",5.6,2.5,3.9,1.1,"FARMACORP"
"71",5.9,3.2,4.8,1.8,"FARMACORP"
"72",6.1,2.8,4,1.3,"FARMACORP"
"73",6.3,2.5,4.9,1.5,"FARMACORP"
"74",6.1,2.8,4.7,1.2,"FARMACORP"
"75",6.4,2.9,4.3,1.3,"FARMACORP"
"76",6.6,3,4.4,1.4,"FARMACORP"
"77",6.8,2.8,4.8,1.4,"FARMACORP"
"78",6.7,3,5,1.7,"FARMACORP"
"79",6,2.9,4.5,1.5,"FARMACORP"
"80",5.7,2.6,3.5,1,"FARMACORP"
"81",5.5,2.4,3.8,1.1,"FARMACORP"
"82",5.5,2.4,3.7,1,"FARMACORP"
"83",5.8,2.7,3.9,1.2,"FARMACORP"
"84",6,2.7,5.1,1.6,"FARMACORP"
"85",5.4,3,4.5,1.5,"FARMACORP"
"86",6,3.4,4.5,1.6,"FARMACORP"
"87",6.7,3.1,4.7,1.5,"FARMACORP"
"88",6.3,2.3,4.4,1.3,"FARMACORP"
"89",5.6,3,4.1,1.3,"FARMACORP"
"90",5.5,2.5,4,1.3,"FARMACORP"
"91",5.5,2.6,4.4,1.2,"FARMACORP"
"92",6.1,3,4.6,1.4,"FARMACORP"
"93",5.8,2.6,4,1.2,"FARMACORP"
"94",5,2.3,3.3,1,"FARMACORP"
"95",5.6,2.7,4.2,1.3,"FARMACORP"
"96",5.7,3,4.2,1.2,"FARMACORP"
"97",5.7,2.9,4.2,1.3,"FARMACORP"
"98",6.2,2.9,4.3,1.3,"FARMACORP"
"99",5.1,2.5,3,1.1,"FARMACORP"
"100",5.7,2.8,4.1,1.3,"FARMACORP"
"101",6.3,3.3,6,2.5,"SOFIA-Avicola"
"102",5.8,2.7,5.1,1.9,"SOFIA-Avicola"
"103",7.1,3,5.9,2.1,"SOFIA-Avicola"
"104",6.3,2.9,5.6,1.8,"SOFIA-Avicola"
"105",6.5,3,5.8,2.2,"SOFIA-Avicola"
"106",7.6,3,6.6,2.1,"SOFIA-Avicola"
"107",4.9,2.5,4.5,1.7,"SOFIA-Avicola"
